;GO:0036376;GO:0045807;GO:0015031;GO:0051928;GO:0050718;GO:1901224;GO:0046854;GO:0060402;GO:0045404;GO:0002755;GO:0030947;GO:0045893;GO:0032729;GO:0098735;GO:0018279;GO:0050830;GO:0071805;GO:0090501;GO:0065003;GO:2001183;GO:1902600;GO:0051260;GO:0007268;GO:0042542;GO:0045416;GO:0009449;GO:1903779;GO:1900426;GO:0061844;GO:0032836;GO:0002407;GO:2000484;GO:0051897;GO:0035666;GO:0007193;GO:0014047;GO:0070509;GO:0043123;GO:0097190;GO:0002063;GO:0002221;GO:0002223;GO:0006813;GO:0006537;GO:0034605;GO:0045672;GO:2000778;GO:0098712;GO:0019221;GO:0006816;GO:1990822;GO:0070588;GO:0071313;GO:2000810;GO:0086064;GO:0098719;GO:0038124;GO:0034162;GO:0031295;GO:0033198;GO:0038123;GO:0048667;GO:0043017;GO:0007249;GO:0001774;GO:0071260;GO:0001932;GO:0140009;GO:0016064;GO:0019731;GO:0050900;GO:0034158;GO:0010881;GO:0010763;GO:0019319;GO:0040037;GO:1902475;GO:1902476;GO:0006883;GO:0006520;GO:0006887;GO:0006401;GO:0030502;GO:0009749;GO:0051607;GO:0032760;GO:0071456;GO:0034146;GO:0019722;GO:0030501;GO:0010575;GO:0071727;GO:0007186;GO:0007187;GO:0090026;GO:0032481;GO:0050806;GO:0034142;GO:0090263;GO:0043277;GO:0043312;GO:0000821;GO:0042102;GO:0038184;GO:0006898;GO:0042742;GO:0097186;GO:0010629;GO:0031668;GO:0032757;GO:0014829;GO:0071320;GO:0055013;GO:0031663;GO:0016045;GO:0010469;GO:0001916;GO:0032755;GO:0071726;GO:0046718;GO:0035860;GO:0030206;GO:0045471;GO:0097421;GO:0045078;GO:0030201;GO:0050776;GO:0034128;GO:0050829;GO:0034123;GO:0050707;GO:0051481;GO:0045630;GO:0007166;GO:0046323;GO:0045356;GO:0045359;GO:0006874;GO:0007204;GO:0045086;GO:0002027;GO:0071222;GO:0045089;GO:0071223;GO:0042130;GO:0045087;GO:0070098;GO:0070374;GO:0006909;GO:0035725;GO:0070779;GO:2000345
GO:0098712;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.3660149997115376;0.4;0.0;0.8;0.4;0.8;0.48300749985576874;0.4;0.43852901558847923;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.4;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.4;0.4;0.8;0.8;0.6830074998557688;0.3660149997115376;0.4;0.8;0.0;0.8;0.8;0.43852901558847923;0.0;0.0;0.3660149997115376;0.4;1.0;0.8;0.4;0.6830074998557688;0.43852901558847923;0.0;0.48300749985576874;0.0;0.5356143810225276;0.8;0.8;0.6000000000000001;0.0;0.8;0.0;0.4;0.8;0.0;0.0;0.4;0.8;0.0;0.0;0.0;0.8;0.8;0.4;0.0;0.43852901558847923;0.8;0.48300749985576874;0.4;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.4;0.0;0.8;0.8;0.43852901558847923;0.43852901558847923;0.0;0.8;0.8;0.4;0.43852901558847923;0.48300749985576874;0.8;0.4;0.5356143810225276;0.8;0.4;0.3660149997115376;0.8;0.6000000000000001;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.8;0.0;0.0;0.8;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.0;0.0;0.8;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.4;0.8;0.4;0.4;0.4;0.4;0.3356143810225276;0.4;0.6000000000000001;0.0;0.43852901558847923;0.0;0.3660149997115376;0.0;0.8;0.3660149997115376;0.6000000000000001;0.43852901558847923;0.8;0.43852901558847923
GO:0019221;0.0;0.48300749985576874;0.0;0.43852901558847923;0.3660149997115376;0.4;0.48300749985576874;0.8;0.4;0.8;0.5356143810225276;0.4;0.43852901558847923;0.5356143810225276;0.8;0.0;0.6830074998557688;0.43852901558847923;0.8;0.4;0.0;0.8;0.43852901558847923;0.0;0.4;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.0;0.8;0.8;0.4;0.4;0.8;0.8;0.6830074998557688;0.0;0.4;0.8;0.8;0.8;0.8;0.0;0.43852901558847923;0.6000000000000001;0.4;0.4;0.8;1.0;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.8;0.0;0.8;0.8;0.6000000000000001;0.0;0.8;0.8;0.4;0.8;0.6000000000000001;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.0;0.8;0.8;0.8;0.4;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.6000000000000001;0.6830074998557688;0.5356143810225276;0.43852901558847923;0.0;0.0;0.4;0.6000000000000001;0.8;0.8;0.43852901558847923;0.43852901558847923;0.8;0.8;0.8;0.4;0.43852901558847923;0.48300749985576874;0.8;0.4;0.0;0.8;0.4;0.3660149997115376;0.8;0.0;0.0;0.0;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.8;0.5356143810225276;0.8;0.8;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.8;0.0;0.8;0.8;0.0;0.0;0.4;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.4;1.0;0.0;0.4;0.4;0.43852901558847923;0.3660149997115376;0.4;0.6000000000000001;0.8;0.43852901558847923;0.8;0.3660149997115376;0.0;1.0;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874
GO:0006816;0.5356143810225276;0.0;0.4;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.4;0.0;1.0;0.3660149997115376;1.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.6000000000000001;0.3660149997115376;0.0
GO:1990822;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.3660149997115376;1.0;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.43852901558847923;0.6830074998557688;0.0
GO:0070588;0.6830074998557688;0.0;0.4;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.8;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;1.0;0.43852901558847923;1.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.8;0.43852901558847923;0.0
GO:0071313;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.48300749985576874;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.3356143810225276;0.48300749985576874;0.0;0.0;0.48300749985576874;0.3356143810225276;0.6830074998557688;0.0;0.4;0.0;0.0;0.4;0.48300749985576874;0.5356143810225276;0.0;0.0;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.0;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.3356143810225276;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;1.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.5356143810225276;0.0;0.6830074998557688;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.0;0.3660149997115376;0.4;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.4;0.48300749985576874;0.4;0.0;0.4;0.4;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.4;0.0;0.0;0.6000000000000001;0.0;0.0;0.6830074998557688;0.5356143810225276;0.5356143810225276;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.6830074998557688;0.0;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.0;0.2830074998557688;0.0;0.5356143810225276;0.0;0.0;0.0;0.3356143810225276;0.2830074998557688;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.0;0.0
GO:2000810;0.0;0.6000000000000001;0.0;0.43852901558847923;0.3660149997115376;0.4;0.0;0.48300749985576874;0.4;0.48300749985576874;0.5356143810225276;0.4;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.4;0.3660149997115376;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.4;0.4;0.48300749985576874;0.48300749985576874;0.0;0.0;0.4;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.4;0.4;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.4;0.0;0.48300749985576874;0.0;0.4;0.48300749985576874;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.4;0.0;0.48300749985576874;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.0;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.48300749985576874;0.4;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.4;0.0;0.0;0.4;0.3660149997115376;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.23852901558847928;0.4;0.5356143810225276;0.0;0.4;0.4;0.2830074998557688;0.23852901558847928;0.4;0.48300749985576874;0.0;0.43852901558847923;0.0;0.3660149997115376;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874
GO:0086064;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.5356143810225276;0.43852901558847923;0.8;0.0;0.0;0.8;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.8;0.6000000000000001;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.4;0.5356143810225276;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.48300749985576874;0.0;1.0;0.0;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.8;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.4;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.48300749985576874;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.8;0.0;0.0;0.0;0.4;0.3356143810225276;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0
GO:0098719;0.8;0.0;0.4;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.4;0.6830074998557688;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;1.0;0.5356143810225276;0.0
GO:0038124;0.0;0.48300749985576874;0.0;0.43852901558847923;0.3660149997115376;0.4;0.48300749985576874;0.8;0.4;0.8;0.48300749985576874;0.4;0.43852901558847923;0.5356143810225276;0.8;0.0;0.6830074998557688;0.43852901558847923;0.8;0.4;0.0;0.8;0.43852901558847923;0.0;0.4;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.8;0.8;0.4;0.4;0.8;0.8;0.6830074998557688;0.0;0.4;0.8;0.8;0.8;0.8;0.0;0.43852901558847923;0.6000000000000001;0.3660149997115376;0.4;0.8;0.8;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.8;0.0;1.0;0.8;0.6000000000000001;0.0;0.8;0.8;0.4;0.8;0.6000000000000001;0.5356143810225276;0.4;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.8;0.8;0.8;0.4;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.6000000000000001;0.6830074998557688;0.5356143810225276;0.43852901558847923;0.0;0.6000000000000001;0.4;0.6000000000000001;0.8;0.8;0.43852901558847923;0.43852901558847923;0.8;0.8;0.8;0.4;0.43852901558847923;0.48300749985576874;0.8;0.4;0.0;0.8;0.4;0.3660149997115376;0.8;0.0;0.0;0.0;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.8;0.5356143810225276;0.8;0.8;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.8;0.0;0.8;0.8;0.0;0.0;0.4;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.4;0.8;0.0;0.4;0.4;0.43852901558847923;0.3660149997115376;0.4;0.6000000000000001;0.8;0.5356143810225276;0.8;0.3660149997115376;0.6000000000000001;0.8;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923
GO:0034162;0.0;0.48300749985576874;0.0;0.43852901558847923;0.3660149997115376;0.4;0.48300749985576874;0.8;0.4;0.8;0.48300749985576874;0.4;0.43852901558847923;0.5356143810225276;0.8;0.0;0.6830074998557688;0.43852901558847923;0.8;0.4;0.0;0.8;0.43852901558847923;0.0;0.4;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.8;0.8;0.4;0.4;0.8;0.8;0.6830074998557688;0.0;0.4;0.8;0.8;0.8;0.8;0.0;0.43852901558847923;0.6000000000000001;0.3660149997115376;0.4;0.8;0.8;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.8;0.0;0.8;1.0;0.6000000000000001;0.0;0.8;0.8;0.4;0.8;0.6000000000000001;0.5356143810225276;0.4;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.8;0.8;0.8;0.4;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.6000000000000001;0.6830074998557688;0.5356143810225276;0.43852901558847923;0.0;0.6000000000000001;0.4;0.6000000000000001;0.8;0.8;0.43852901558847923;0.43852901558847923;0.8;0.8;0.8;0.4;0.43852901558847923;0.48300749985576874;0.8;0.4;0.0;0.8;0.4;0.3660149997115376;0.8;0.0;0.0;0.0;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.8;0.5356143810225276;0.8;0.8;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.8;0.0;0.8;0.8;0.0;0.0;0.4;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.4;0.8;0.0;0.4;0.4;0.43852901558847923;0.3660149997115376;0.4;0.6000000000000001;0.8;0.5356143810225276;0.8;0.3660149997115376;0.6000000000000001;0.8;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923
GO:0031295;0.0;0.43852901558847923;0.0;0.4;0.3356143810225276;0.3660149997115376;0.0;0.6000000000000001;0.3660149997115376;0.6000000000000001;0.4;0.3660149997115376;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.3660149997115376;0.4;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.0;0.6000000000000001;0.3660149997115376;0.3660149997115376;0.6000000000000001;0.6000000000000001;0.0;0.0;0.3660149997115376;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.4;0.3660149997115376;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.6000000000000001;0.6000000000000001;1.0;0.0;0.6000000000000001;0.0;0.3660149997115376;0.6000000000000001;0.48300749985576874;0.0;0.3356143810225276;0.4;0.43852901558847923;0.48300749985576874;0.6830074998557688;0.6000000000000001;0.6000000000000001;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.3660149997115376;0.0;0.6000000000000001;0.3660149997115376;0.0;0.6000000000000001;0.6000000000000001;0.4;0.4;0.0;0.6000000000000001;0.6000000000000001;0.43852901558847923;0.4;0.43852901558847923;0.6000000000000001;0.3660149997115376;0.0;0.6830074998557688;0.3356143810225276;0.8;0.6000000000000001;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.6000000000000001;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.4;0.4;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.4;0.0;0.43852901558847923;0.4;0.2830074998557688;0.48300749985576874;0.6000000000000001;0.0;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.2830074998557688;0.3660149997115376;0.48300749985576874;0.0;0.48300749985576874;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.3356143810225276;0.0;0.0;0.0;0.3660149997115376
GO:0033198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.6000000000000001;0.0;0.0;0.6830074998557688;0.0;0.0;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.6830074998557688;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0
GO:0038123;0.0;0.48300749985576874;0.0;0.43852901558847923;0.3660149997115376;0.4;0.48300749985576874;0.8;0.4;0.8;0.48300749985576874;0.4;0.43852901558847923;0.5356143810225276;0.8;0.0;0.6830074998557688;0.43852901558847923;0.8;0.4;0.0;0.8;0.43852901558847923;0.0;0.4;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.8;0.8;0.4;0.4;0.8;0.8;0.6830074998557688;0.0;0.4;0.8;0.8;0.8;0.8;0.0;0.43852901558847923;0.6000000000000001;0.3660149997115376;0.4;0.8;0.8;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.8;0.0;0.8;0.8;0.6000000000000001;0.0;1.0;0.8;0.4;0.8;0.6000000000000001;0.5356143810225276;0.4;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.8;0.8;0.8;0.4;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.6000000000000001;0.6830074998557688;0.5356143810225276;0.43852901558847923;0.0;0.6000000000000001;0.4;0.6000000000000001;0.8;0.8;0.43852901558847923;0.43852901558847923;0.8;0.8;0.8;0.4;0.43852901558847923;0.48300749985576874;0.8;0.4;0.0;0.8;0.4;0.3660149997115376;0.8;0.0;0.0;0.0;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.8;0.5356143810225276;0.8;0.8;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.8;0.0;0.8;0.8;0.0;0.0;0.4;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.4;0.8;0.0;0.4;0.4;0.43852901558847923;0.3660149997115376;0.4;0.6000000000000001;0.8;0.5356143810225276;0.8;0.3660149997115376;0.6000000000000001;0.8;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923
GO:0048667;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.6830074998557688;0.43852901558847923;0.8;0.0;0.0;0.8;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.8;0.6830074998557688;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.0;0.8;0.8;0.0;0.0;0.8;1.0;0.0;0.8;0.6000000000000001;0.5356143810225276;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.6830074998557688;0.5356143810225276;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.6830074998557688;0.0;0.0;0.5356143810225276;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.8;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0
